customer_id,email_opt_in
100001,false
100002,true
100003,true
100004,false
100005,true
100006,true
100007,false
100008,true
100009,true
100010,false
100011,true
100012,true
100013,false
100014,true
100015,false
100016,false
100017,false
100018,false
100019,true
100020,true
100021,true
100022,false
100023,true
100024,true
100025,true
100026,false
100027,true
100028,true
100029,true
100030,true
100031,true
100032,true
100033,false
100034,false
100035,true
100036,false
100037,false
100038,true
100039,true
100040,false
100041,true
100042,true
100043,true
100044,true
100045,true
100046,false
100047,true
100048,false
100049,true
100050,false
100051,true
100052,false
100053,true
100054,true
100055,true
100056,false
100057,true
100058,true
100059,false
100060,true
100061,true
100062,true
100063,true
100064,true
100065,true
100066,true
100067,true
100068,true
100069,false
100070,false
100071,false
100072,true
100073,true
100074,true
100075,true
100076,false
100077,false
100078,true
100079,true
100080,true
100081,true
100082,true
100083,true
100084,true
100085,true
100086,true
100087,true
100088,false
100089,true
100090,true
100091,true
100092,false
100093,true
100094,false
100095,true
100096,true
100097,true
100098,true
100099,true
100100,true
100101,false
100102,true
100103,true
100104,true
100105,true
100106,true
100107,true
100108,true
100109,false
100110,true
100111,false
100112,true
100113,false
100114,false
100115,true
100116,false
100117,true
100118,true
100119,true
100120,true
100121,true
100122,true
100123,true
100124,true
100125,true
100126,true
100127,false
100128,false
100129,true
100130,true
100131,true
100132,false
100133,false
100134,true
100135,true
100136,true
100137,true
100138,true
100139,true
100140,true
100141,false
100142,false
100143,true
100144,true
100145,true
100146,true
100147,true
100148,false
100149,true
100150,true
100151,true
100152,true
100153,true
100154,true
100155,false
100156,true
100157,true
100158,true
100159,true
100160,false
100161,true
100162,true
100163,true
100164,false
100165,true
100166,false
100167,true
100168,true
100169,true
100170,true
100171,true
100172,true
100173,true
100174,true
100175,true
100176,true
100177,false
100178,false
100179,false
100180,true
100181,false
100182,true
100183,false
100184,true
100185,true
100186,true
100187,true
100188,true
100189,true
100190,false
100191,true
100192,true
100193,false
100194,true
100195,true
100196,true
100197,false
100198,true
100199,true
100200,true
100201,false
100202,true
100203,true
100204,true
100205,true
100206,false
100207,true
100208,true
100209,true
100210,true
100211,true
100212,false
100213,true
100214,true
100215,true
100216,true
100217,true
100218,false
100219,true
100220,false
100221,true
100222,true
100223,true
100224,true
100225,true
100226,false
100227,false
100228,true
100229,true
100230,true
100231,true
100232,true
100233,true
100234,false
100235,true
100236,false
100237,true
100238,true
100239,false
100240,false
100241,true
100242,true
100243,true
100244,true
100245,true
100246,true
100247,true
100248,true
100249,true
100250,false
100251,true
100252,true
100253,true
100254,true
100255,false
100256,true
100257,true
100258,false
100259,true
100260,true
100261,false
100262,false
100263,true
100264,true
100265,true
100266,false
100267,true
100268,false
100269,true
100270,true
100271,true
100272,false
100273,true
100274,false
100275,true
100276,true
100277,true
100278,true
100279,true
100280,false
100281,true
100282,true
100283,true
100284,true
100285,true
100286,true
100287,false
100288,true
100289,false
100290,true
100291,true
100292,false
100293,false
100294,true
100295,true
100296,true
100297,false
100298,true
100299,true
100300,false
100301,true
100302,true
100303,true
100304,true
100305,true
100306,true
100307,true
100308,false
100309,true
100310,false
100311,false
100312,false
100313,true
100314,true
100315,true
100316,false
100317,false
100318,true
100319,true
100320,false
100321,true
100322,true
100323,true
100324,true
100325,false
100326,true
100327,false
100328,true
100329,true
100330,false
100331,false
100332,true
100333,true
100334,false
100335,true
100336,true
100337,true
100338,true
100339,true
100340,true
100341,false
100342,true
100343,true
100344,true
100345,true
100346,true
100347,true
