customer_id,product_name
100001,HOME_LOAN
100002,AUTO_LOAN
100003,PERSONAL_LOAN
100004,HOME_LOAN
100005,AUTO_LOAN
100006,AUTO_LOAN
100007,AUTO_LOAN
100008,AUTO_LOAN
100009,PERSONAL_LOAN
100010,PERSONAL_LOAN
100011,PERSONAL_LOAN
100012,CREDIT_CARD
100013,PERSONAL_LOAN
100014,PERSONAL_LOAN
100015,PERSONAL_LOAN
100016,AUTO_LOAN
100017,PERSONAL_LOAN
100018,CREDIT_CARD
100019,AUTO_LOAN
100020,HOME_LOAN
100021,HOME_LOAN
100022,AUTO_LOAN
100023,HOME_LOAN
100024,AUTO_LOAN
100025,AUTO_LOAN
100026,PERSONAL_LOAN
100027,PERSONAL_LOAN
100028,CREDIT_CARD
100029,CREDIT_CARD
100030,PERSONAL_LOAN
100031,AUTO_LOAN
100032,CREDIT_CARD
100033,AUTO_LOAN
100034,AUTO_LOAN
100035,CREDIT_CARD
100036,HOME_LOAN
100037,PERSONAL_LOAN
100038,PERSONAL_LOAN
100039,PERSONAL_LOAN
100040,CREDIT_CARD
100041,CREDIT_CARD
100042,PERSONAL_LOAN
100043,HOME_LOAN
100044,PERSONAL_LOAN
100045,CREDIT_CARD
100046,HOME_LOAN
100047,HOME_LOAN
100048,CREDIT_CARD
100049,HOME_LOAN
100050,HOME_LOAN
100051,CREDIT_CARD
100052,PERSONAL_LOAN
100053,HOME_LOAN
100054,HOME_LOAN
100055,CREDIT_CARD
100056,CREDIT_CARD
100057,HOME_LOAN
100058,PERSONAL_LOAN
100059,HOME_LOAN
100060,AUTO_LOAN
100061,PERSONAL_LOAN
100062,AUTO_LOAN
100063,HOME_LOAN
100064,CREDIT_CARD
100065,CREDIT_CARD
100066,PERSONAL_LOAN
100067,HOME_LOAN
100068,PERSONAL_LOAN
100069,HOME_LOAN
100070,AUTO_LOAN
100071,PERSONAL_LOAN
100072,HOME_LOAN
100073,PERSONAL_LOAN
100074,PERSONAL_LOAN
100075,PERSONAL_LOAN
100076,CREDIT_CARD
100077,PERSONAL_LOAN
100078,PERSONAL_LOAN
100079,PERSONAL_LOAN
100080,HOME_LOAN
100081,HOME_LOAN
100082,AUTO_LOAN
100083,HOME_LOAN
100084,AUTO_LOAN
100085,CREDIT_CARD
100086,HOME_LOAN
100087,PERSONAL_LOAN
100088,CREDIT_CARD
100089,CREDIT_CARD
100090,PERSONAL_LOAN
100091,PERSONAL_LOAN
100092,HOME_LOAN
100093,HOME_LOAN
100094,HOME_LOAN
100095,CREDIT_CARD
100096,AUTO_LOAN
100097,PERSONAL_LOAN
100098,PERSONAL_LOAN
100099,CREDIT_CARD
100100,PERSONAL_LOAN
100101,HOME_LOAN
100102,PERSONAL_LOAN
