customer_id,monthly_spend,avg_balance,emi_outflow
100001,43245.53435411806,190345.67256170302,10901.45
100002,22929.948549422916,97353.84077410553,6543.70
100003,77926.92036499473,345550.2355239128,2335.80
100004,29822.81203538798,116097.1226380545,12617.89
100005,37428.26568810241,171920.9474000617,1185.23
100006,15211.743455073844,74916.12960699231,6933.88
100007,48640.980942712275,155944.41990878587,29063.95
100008,35637.20427735223,106968.07400805558,8644.54
100009,24716.481787374683,80469.90039940189,5056.03
100010,102548.51754679228,341720.1585122109,12864.96
